Quarter,LandReady,BeingBuilt,BuiltNotSold,Total
2026/Jun,16000,61000,19000,96000
2026/Mar,19000,62000,20000,101000
2025/Dec,20000,61000,23000,104000
2025/Sep,14000,62000,26000,102000
2025/Jun,10000,64000,27000,101000
2025/Mar,12000,65000,28000,105000
2024/Dec,12000,68000,27000,107000
2024/Sep,10000,77000,21000,108000
2024/Jun,13000,77000,19000,109000
2024/Mar,19000,72000,21000,112000
2023/Dec,18000,71000,20000,109000
2023/Sep,20000,67000,18000,107000
2023/Jun,19000,68000,17000,105000
2023/Mar,25000,65000,18000,107000
2022/Dec,23000,66000,16000,105000
2022/Sep,17000,63000,15000,95000
2022/Jun,17000,66000,14000,98000
2022/Mar,15000,70000,14000,99000
